customer_id,signup_date,age,gender,location_city,location_state,acquisition_channel,acquisition_cost,subscription_tier,billing_cycle,payment_method,first_purchase_value,total_orders_to_date,total_revenue_to_date,last_order_date,days_since_last_order,customer_lifetime_months,subscription_status,churn_date,churn_reason,customer_support_tickets,nps_score,email_engagement_score,feature_usage_score,customer_segment
10001,2024-03-12,43,Male,Boston,MA,Paid Social,85,Basic,Monthly,Apple Pay,59.84,3,976.72,2025-10-07 14:15:09.435156,156,24,At Risk,,,1,3.0,77.4,47.1,At Risk
10002,2024-03-12,36,Male,Phoenix,AZ,Paid Social,85,Basic,Monthly,Credit Card,187.37,2,928.16,2025-08-06 14:15:09.435230,218,24,Active,,,3,,60.8,56.9,Growing
10003,2024-03-12,45,Female,Atlanta,GA,Referral,25,Plus,Monthly,Credit Card,15.0,2,1412.63,2025-02-17 14:15:09.435249,388,24,Active,,,0,,53.4,51.9,Growing
10004,2024-03-12,56,Male,Minneapolis,MN,Paid Social,85,Premium,Monthly,Bank Transfer,149.97,0,1896.0,,0,24,Active,,,0,7.0,26.3,40.8,High Value
10005,2024-03-12,35,Female,San Jose,CA,Organic Search,45,Basic,Monthly,Credit Card,60.51,4,1092.39,2025-08-30 14:15:09.435265,194,24,Active,,,0,7.0,44.4,66.3,Growing
10006,2024-03-12,35,Female,Dallas,TX,Paid Social,85,Basic,Monthly,Credit Card,65.25,3,985.34,2025-04-07 14:15:07.885039,339,24,Churned,2025-10-17 14:15:07.885039,Product quality,1,10.0,44.8,28.6,Churned
10007,2024-03-12,56,Female,New York,NY,Referral,25,Basic,Annual,Credit Card,15.0,5,996.22,2025-04-16 14:15:09.435305,330,24,Active,,,0,1.0,27.3,49.7,Growing
10008,2024-03-12,47,Female,Miami,FL,Paid Social,85,Basic,Annual,Apple Pay,76.87,5,1019.7,2026-01-01 14:15:09.435317,70,24,Paused,,,5,7.0,55.8,72.1,Growing
10009,2024-03-12,32,Female,San Jose,CA,Referral,25,Basic,Annual,Credit Card,22.47,4,845.61,2025-04-10 14:15:07.885039,336,24,Churned,2025-10-28 14:15:07.885039,Price too high,1,8.0,69.4,40.7,Churned
10010,2024-03-12,44,Male,Boston,MA,Referral,25,Plus,Monthly,PayPal,110.22,2,1308.12,2025-05-22 14:15:09.435340,294,24,Active,,,1,3.0,70.1,,Growing
10011,2024-03-12,32,Female,Phoenix,AZ,Referral,25,Premium,Monthly,Credit Card,158.35,4,2143.82,2025-05-05 14:15:09.435350,311,24,Active,,,2,4.0,50.8,46.8,High Value
10012,2024-03-12,32,Male,San Antonio,TX,Direct,0,Basic,Monthly,Credit Card,130.72,7,1317.88,2025-03-17 14:15:09.435360,360,24,Active,,,1,,24.8,70.6,Growing
10013,2024-03-12,40,Male,San Jose,CA,Paid Social,85,Basic,Annual,Credit Card,15.33,8,1501.29,2025-03-13 14:15:09.435369,364,24,Active,,,0,3.0,45.6,71.3,High Value
10014,2024-03-12,22,Male,Chicago,IL,Organic Search,45,Basic,Monthly,Apple Pay,46.47,2,824.08,2025-08-14 14:15:09.435378,210,24,Active,,,2,7.0,92.2,76.5,Growing
10015,2024-03-13,22,Female,San Diego,CA,Paid Social,85,Basic,Monthly,PayPal,15.0,10,1395.79,2026-01-15 14:15:09.435387,56,24,Active,,,1,10.0,87.4,69.9,Growing
10016,2024-03-13,31,Male,Seattle,WA,Paid Social,85,Basic,Monthly,PayPal,91.71,1,757.91,2025-07-26 14:15:07.885039,229,24,Churned,2025-10-25 14:15:07.885039,Product quality,5,,16.5,53.1,Churned
10017,2024-03-13,25,Male,Tampa,FL,Referral,25,Plus,Monthly,Credit Card,74.61,2,1365.24,2025-09-22 14:15:09.435408,171,24,Active,,,6,0.0,38.8,50.0,Growing
10018,2024-03-13,41,Male,Seattle,WA,Organic Search,45,Basic,Monthly,Credit Card,131.1,2,819.34,2025-06-12 14:15:09.435417,273,24,Active,,,1,8.0,68.6,59.0,Growing
10019,2024-03-13,27,Female,Houston,TX,Paid Social,85,Premium,Monthly,PayPal,76.51,8,2584.41,2025-06-24 14:15:09.435427,261,24,Active,,,3,,86.7,59.5,High Value
10020,2024-03-13,22,Female,Austin,TX,Direct,0,Plus,Monthly,PayPal,48.48,0,1176.0,,0,24,Churned,2025-06-20 14:15:07.885039,Product quality,3,3.0,34.0,63.7,Churned
10021,2024-03-14,55,Female,Chicago,IL,Referral,25,Plus,Annual,PayPal,19.09,2,1174.03,2025-09-08 14:15:09.435438,185,24,Active,,,0,,27.1,42.6,Growing
10022,2024-03-14,35,Female,Boston,MA,Referral,25,Basic,Annual,Credit Card,30.82,5,925.73,2025-09-26 14:15:09.435448,167,24,Active,,,2,10.0,69.8,21.1,Growing
10023,2024-03-14,38,Male,Phoenix,AZ,Direct,0,Plus,Monthly,Apple Pay,130.16,4,1397.45,2025-07-28 14:15:09.435459,227,24,Active,,,1,,34.6,43.2,Growing
10024,2024-03-14,22,Male,Miami,FL,Direct,0,Basic,Monthly,Credit Card,18.68,9,1179.7,2025-06-05 14:15:09.435469,280,24,At Risk,,,0,6.0,17.0,71.4,At Risk
10025,2024-03-14,31,Female,Phoenix,AZ,Referral,25,Basic,Monthly,Credit Card,63.27,1,813.48,2025-04-13 14:15:07.885039,333,24,Churned,2025-10-26 14:15:07.885039,Price too high,3,,9.2,31.3,Churned
10026,2024-03-14,39,Male,Austin,TX,Paid Social,85,Basic,Monthly,Bank Transfer,57.47,2,881.84,2024-10-05 14:15:07.885039,523,24,Churned,2025-08-31 14:15:07.885039,Found competitor,2,1.0,68.0,49.7,Churned
10027,2024-03-14,24,Male,Detroit,MI,Paid Search,95,Premium,Monthly,PayPal,62.04,4,2319.34,2025-03-11 14:15:09.435503,366,24,Paused,,,2,10.0,64.5,81.2,High Value
10028,2024-03-14,42,Male,Philadelphia,PA,Email Campaign,15,Basic,Monthly,Credit Card,59.98,2,870.58,2025-03-21 14:15:09.435512,356,24,Active,,,0,8.0,24.6,56.0,Growing
10029,2024-03-14,30,Female,Minneapolis,MN,Organic Search,45,Basic,Annual,PayPal,26.6,4,985.4,2025-05-22 14:15:09.435521,294,24,Active,,,2,9.0,49.9,52.4,Growing
10030,2024-03-14,34,Male,Miami,FL,Paid Social,85,Basic,Monthly,Credit Card,121.96,7,978.74,2025-05-22 14:15:09.435566,294,24,Active,,,1,,25.4,71.4,Growing
10031,2024-03-15,30,Female,Miami,FL,Referral,25,Basic,Monthly,Credit Card,91.69,3,1024.16,2026-01-23 14:15:09.435577,48,24,Active,,,1,,65.5,36.6,Growing
10032,2024-03-15,60,Male,Los Angeles,CA,Paid Search,95,Basic,Monthly,PayPal,50.64,3,1031.9,2024-06-26 14:15:07.885039,624,24,Churned,2025-02-16 14:15:07.885039,Found competitor,8,4.0,56.4,39.1,Churned
10033,2024-03-15,37,Female,Denver,CO,Organic Search,45,Basic,Monthly,Credit Card,77.59,7,1303.84,2025-07-08 14:15:09.435599,247,24,Active,,,2,,93.7,90.9,Growing
10034,2024-03-15,25,Male,New York,NY,Organic Search,45,Plus,Annual,Credit Card,58.07,12,2172.74,2025-10-01 14:15:09.435610,162,24,Active,,,0,,43.4,75.2,High Value
10035,2024-03-15,47,Male,Tampa,FL,Direct,0,Basic,Monthly,Credit Card,54.03,0,696.0,,0,24,At Risk,,,2,4.0,10.0,64.2,At Risk
10036,2024-03-15,23,Male,Los Angeles,CA,Paid Search,95,Plus,Monthly,Credit Card,147.28,5,1410.34,2025-09-07 14:15:09.435634,186,24,Active,,,1,,85.4,,Growing
10037,2024-03-16,40,Female,Denver,CO,Paid Social,85,Plus,Monthly,Credit Card,76.52,7,1611.88,2026-01-04 14:15:09.435645,67,24,Active,,,1,9.0,48.0,39.3,High Value
10038,2024-03-16,22,Male,Phoenix,AZ,Paid Social,85,Basic,Monthly,Bank Transfer,49.42,9,1551.64,2025-06-07 14:15:09.435653,278,24,Active,,,3,9.0,81.6,67.8,High Value
10039,2024-03-16,22,Female,Chicago,IL,Referral,25,Plus,Monthly,PayPal,33.78,2,1403.9,2025-10-09 14:15:09.435663,154,24,Active,,,3,,43.0,12.9,Growing
10040,2024-03-16,40,Female,Boston,MA,Paid Social,85,Plus,Monthly,Credit Card,59.0,0,1176.0,,0,24,At Risk,,,1,2.0,67.0,20.6,At Risk
10041,2024-03-16,46,Female,Portland,OR,Direct,0,Plus,Monthly,PayPal,120.92,5,1575.57,2026-01-15 14:15:09.435674,56,24,Active,,,1,9.0,20.9,50.8,High Value
10042,2024-03-16,40,Male,Boston,MA,Organic Search,45,Plus,Monthly,Bank Transfer,46.96,2,1340.71,2025-03-13 14:15:09.435684,364,24,Active,,,4,,67.6,66.5,Growing
10043,2024-03-17,36,Male,Dallas,TX,Organic Search,45,Plus,Annual,PayPal,99.93,12,2310.23,2025-03-04 14:15:09.435693,373,24,Active,,,0,1.0,72.6,38.7,High Value
10044,2024-03-17,34,Male,Denver,CO,Organic Search,45,Basic,Monthly,Credit Card,53.8,1,736.67,2025-09-21 14:15:09.435702,172,24,Active,,,1,5.0,82.4,89.9,Growing
10045,2024-03-17,22,Female,Los Angeles,CA,Paid Social,85,Plus,Monthly,Credit Card,71.13,2,1327.66,2024-06-12 14:15:07.885039,638,24,Churned,2025-03-10 14:15:07.885039,Poor support,3,8.0,23.3,34.8,Churned
