order_id,customer_id,order_date,order_value,product_category,order_status,shipping_cost,discount_amount,payment_processing_fee,product_cost,delivery_days,customer_rating,was_promoted,referral_used,net_revenue
50001,10001,2024-03-14,40.73,Fashion,Delivered,16.79,0.0,1.18,22.4,8.0,5.0,No,No,0.36
50012,10006,2024-03-15,64.18,Books,Failed,10.12,0.0,1.86,32.09,,2.0,No,No,20.11
50006,10003,2024-03-16,95.74,Books,Delivered,8.28,0.0,2.78,47.87,12.0,4.0,No,Yes,36.81
50008,10005,2024-03-16,51.67,Fashion,Delivered,17.88,29.16,1.5,28.42,10.0,5.0,Yes,No,33.03
50063,10017,2024-03-17,69.7,Food & Beverage,Delivered,4.09,0.0,2.02,45.31,10.0,5.0,No,Yes,18.28
50050,10014,2024-03-18,48.05,Home & Garden,Returned,2.31,0.0,1.39,28.83,,5.0,No,No,15.52
50065,10018,2024-03-19,63.44,Books,Delivered,20.88,0.0,1.84,31.72,12.0,5.0,No,No,9.0
50035,10012,2024-03-19,49.33,Food & Beverage,Delivered,0.42,0.0,1.43,32.06,3.0,5.0,No,No,15.42
50145,10037,2024-03-20,89.7,Sports,Delivered,4.83,0.0,2.6,52.03,10.0,5.0,No,No,30.24
50118,10032,2024-03-20,85.23,Sports,Delivered,17.34,16.9,2.47,49.43,12.0,3.0,Yes,No,32.89
50276,10063,2024-03-21,51.73,Electronics,Delivered,15.3,0.0,1.5,38.8,14.0,4.0,No,No,-3.87
50077,10022,2024-03-21,47.24,Books,Delivered,19.3,0.0,1.37,23.62,10.0,3.0,No,No,2.95
50229,10054,2024-03-21,74.4,Home & Garden,Delivered,17.0,0.0,2.16,44.64,11.0,4.0,No,No,10.6
50020,10008,2024-03-22,75.17,Food & Beverage,Returned,13.73,0.0,2.18,48.86,,5.0,No,No,10.4
50128,10034,2024-03-22,102.45,Fashion,Delivered,1.7,0.0,2.97,56.35,11.0,4.0,No,No,41.43
50170,10043,2024-03-22,122.29,Home & Garden,Delivered,11.13,0.0,3.55,73.37,11.0,4.0,No,No,34.24
50328,10076,2024-03-22,87.25,Beauty,Delivered,24.1,15.39,2.53,39.26,11.0,3.0,Yes,No,36.75
50104,10029,2024-03-22,61.96,Home & Garden,Returned,22.11,0.0,1.8,37.18,,5.0,No,No,0.87
50086,10024,2024-03-22,36.81,Fashion,Delivered,21.97,0.0,1.07,20.25,13.0,,No,No,-6.48
50345,10080,2024-03-22,109.62,Fashion,Delivered,14.9,0.0,3.18,60.29,9.0,,No,No,31.25
50031,10011,2024-03-23,125.11,Food & Beverage,Failed,1.84,0.0,3.63,81.32,,,No,No,38.32
50140,10036,2024-03-23,136.29,Fashion,Delivered,6.27,0.0,3.95,74.96,8.0,5.0,No,No,51.11
50062,10016,2024-03-23,47.83,Beauty,Delivered,14.21,26.03,1.39,21.52,10.0,1.0,Yes,No,36.74
50042,10013,2024-03-23,36.83,Sports,Delivered,3.1,0.0,1.07,21.36,10.0,4.0,No,No,11.3
50391,10087,2024-03-23,199.48,Food & Beverage,Delivered,6.78,9.25,5.78,129.66,3.0,4.0,Yes,No,66.51
50384,10084,2024-03-23,184.71,Beauty,Delivered,2.75,0.0,5.36,83.12,6.0,4.0,No,No,93.48
50038,10012,2024-03-24,75.27,Food & Beverage,Delivered,10.81,0.0,2.18,48.93,4.0,3.0,No,No,13.35
50196,10048,2024-03-24,95.28,Fashion,Delivered,8.16,0.0,2.76,52.4,7.0,3.0,No,No,31.96
50185,10046,2024-03-25,73.78,Home & Garden,Delivered,16.9,0.0,2.14,44.27,2.0,5.0,No,No,10.47
